date,curfew_days,curfew_intensity,curfew_note
2022-01-01,0,0.0,
2022-02-01,0,0.0,
2022-03-01,0,0.0,
2022-04-01,0,0.0,
2022-05-01,0,0.0,
2022-06-01,0,0.0,
2022-07-01,0,0.0,
2022-08-01,0,0.0,
2022-09-01,0,0.0,
2022-10-01,0,0.0,
2022-11-01,30,0.085,Decreto 590 / estados de excepción focalizados
2022-12-01,15,0.04112903225806452,Decreto 590 / estados de excepción focalizados
2023-01-01,0,0.0,
2023-02-01,0,0.0,
2023-03-01,0,0.0,
2023-04-01,0,0.0,
2023-05-01,0,0.0,
2023-06-01,0,0.0,
2023-07-01,0,0.0,
2023-08-01,0,0.0,
2023-09-01,0,0.0,
2023-10-01,0,0.0,
2023-11-01,0,0.0,
2023-12-01,0,0.0,
2024-01-01,24,0.13548387096774192,Conflicto armado interno y toque de queda nacional/focalizado
2024-02-01,29,0.175,Conflicto armado interno y toque de queda nacional/focalizado
2024-03-01,31,0.175,Conflicto armado interno y toque de queda nacional/focalizado
2024-04-01,8,0.04666666666666666,Conflicto armado interno y toque de queda nacional/focalizado
2024-05-01,10,0.0,Estado de excepción en siete provincias y zona de Azuay
2024-06-01,30,0.0,Estado de excepción en siete provincias y zona de Azuay
2024-07-01,21,0.0,Estado de excepción en siete provincias y zona de Azuay
2024-08-01,0,0.0,
2024-09-01,0,0.0,
2024-10-01,0,0.0,
2024-11-01,0,0.0,
2024-12-01,0,0.0,
2025-01-01,0,0.0,
2025-02-01,0,0.0,
2025-03-01,0,0.0,
2025-04-01,0,0.0,
2025-05-01,0,0.0,
2025-06-01,0,0.0,
2025-07-01,0,0.0,
2025-08-01,0,0.0,
2025-09-01,0,0.0,
2025-10-01,0,0.0,
2025-11-01,0,0.0,
2025-12-01,0,0.0,
2026-01-01,0,0.0,
2026-02-01,0,0.0,
2026-03-01,16,0.04516129032258064,Toque de queda nocturno 23h00-05h00
