event,event_time,date,dlog_no_petrolero,dlog_vulnerable,homicidios,curfew_intensity
2024-01-01,-3,2023-10-01,-1.5022200506351169,-1.246590680233961,800,0.0
2024-01-01,-2,2023-11-01,-0.08632807406945275,-1.5014286107590813,830,0.0
2024-01-01,-1,2023-12-01,4.178397923265553,4.679277523136527,849,0.0
2024-01-01,0,2024-01-01,-4.8215805472941575,-5.334253791461929,505,0.13548387096774192
2024-01-01,1,2024-02-01,1.3022643899378572,2.1664634637978963,387,0.175
2024-01-01,2,2024-03-01,1.3995458802143368,3.735124816288682,390,0.175
2024-01-01,3,2024-04-01,-4.251060758971548,-8.524767529258792,400,0.04666666666666666
2026-03-01,-3,2025-12-01,-0.2981046657161812,-1.5538379757277454,818,0.0
2026-03-01,-2,2026-01-01,2.7572129165576165,4.658957265337449,747,0.0
2026-03-01,-1,2026-02-01,-1.290799915881724,-1.8534038914268969,677,0.0
2026-03-01,0,2026-03-01,-0.4784887517419456,-0.2903979766035292,433,0.04516129032258064
